#Software: Microsoft Internet Information Services 8.5
2015-10-29 13:31:01 172.31.22.76 GET /tools/960.css - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 234
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-10-29 18:16:48
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-10-29 18:16:48 172.31.22.76 GET /images/logo.png - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 203
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-10-29 19:31:42
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-10-29 19:31:42 172.31.22.76 GET / - 80 - 71.6.135.131 - - 200 0 0 78
2015-10-29 19:31:42 172.31.22.76 GET /robots.txt - 80 - 71.6.135.131 - - 404 0 2 46
2015-10-29 19:35:41 172.31.22.76 GET /images/watch.png - 80 - 200.41.111.69 Mozilla/4.0+(compatible;) - 304 0 0 171
2015-10-29 19:39:44 172.31.22.76 GET /manager/html - 80 - 119.134.251.156 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.2;+WOW64;+Trident/6.0) - 404 0 2 421
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-10-29 20:50:51
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-10-29 20:50:51 172.31.22.76 GET /tools/style.css - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 218
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-10-29 21:12:04
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-10-29 21:12:04 172.31.22.76 GET / - 80 - 111.172.61.125 Mozilla/5.0+(Windows+NT+5.1;+rv:9.0.1)+Gecko/20100101+Firefox/9.0.1 - 200 0 0 390
