#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-22 00:01:40
2015-12-22 13:27:46 172.31.22.76 GET /favicon.ico - 80 - 66.249.88.109 Mozilla/5.0+(Windows+NT+6.1;+rv:6.0)+Gecko/20110814+Firefox/6.0+Google+Favicon - 200 0 0 78
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-22 15:40:28
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-22 15:40:28 172.31.22.76 GET /images/social.png - 80 - 200.41.111.69 Mozilla/4.0+(compatible;) - 304 0 0 171
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-22 17:02:05
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-22 17:02:05 172.31.22.76 GET /assets/css/mainStylesheet.css - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 203
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-22 18:07:34
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-22 18:07:34 172.31.22.76 GET /favicon.ico - 80 - 200.41.111.69 Mozilla/4.0+(compatible;) - 304 0 0 171
2015-12-22 18:12:14 172.31.22.76 GET /muieblackcat - 80 - 191.237.42.132 - - 404 0 2 156
2015-12-22 18:12:14 172.31.22.76 GET /phpMyAdmin/scripts/setup.php - 80 - 191.237.42.132 - - 404 0 2 78
2015-12-22 18:12:14 172.31.22.76 GET /phpmyadmin/scripts/setup.php - 80 - 191.237.42.132 - - 404 0 2 78
2015-12-22 18:12:14 172.31.22.76 GET /pma/scripts/setup.php - 80 - 191.237.42.132 - - 404 0 2 93
2015-12-22 18:12:14 172.31.22.76 GET /myadmin/scripts/setup.php - 80 - 191.237.42.132 - - 404 0 2 93
2015-12-22 18:12:14 172.31.22.76 GET /MyAdmin/scripts/setup.php - 80 - 191.237.42.132 - - 404 0 2 78
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-22 19:06:56
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-22 19:06:56 172.31.22.76 GET /httptest.php - 80 - 188.68.224.62 - - 404 0 2 218
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-22 19:41:33
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-22 19:41:33 172.31.22.76 GET /httptest.php - 80 - 188.68.224.62 - - 404 0 2 203
2015-12-22 19:51:20 172.31.22.76 GET /images/bg.png - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 156
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-22 20:53:41
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-22 20:53:41 172.31.22.76 GET / - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 265
2015-12-22 20:56:06 172.31.22.76 GET /httptest.php - 80 - 188.68.224.62 - - 404 0 2 187
2015-12-22 20:56:08 172.31.22.76 GET /httptest.php - 80 - 188.68.224.62 - - 404 0 2 171
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-22 21:32:22
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-22 21:32:22 172.31.22.76 GET /httptest.php - 80 - 188.68.224.62 - - 404 0 2 218
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-22 22:12:21
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-22 22:12:21 172.31.22.76 GET /httptest.php - 80 - 188.68.224.62 - - 404 0 2 218
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-22 23:23:32
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-22 23:23:32 172.31.22.76 GET /httptest.php - 80 - 188.68.224.62 - - 404 0 2 218
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-22 23:46:24
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-22 23:46:24 172.31.22.76 GET / - 80 - 5.9.36.45 Mozilla/5.0+(Windows+NT+10.0;+rv:42.0)+Gecko/20100101+Firefox/42.0 - 200 0 0 3390
2015-12-22 23:50:02 172.31.22.76 GET /tools/960.css - 80 - 200.41.111.69 Mozilla/4.0+(compatible;) - 304 0 0 124
