#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-02-06 19:30:51
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2016-02-06 19:30:52 ::1 GET /media/jui/css/chosen-sprite.png - 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/media/jui/css/chosen.css 200 0 0 1
2016-02-06 19:30:52 ::1 GET /installation/favicon.ico - 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/installation/index.php 200 0 0 0
2016-02-06 19:31:51 ::1 GET /installation/template/images/ajax-loader.gif - 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/installation/template/css/template.css 200 0 0 131
2016-02-06 19:31:51 ::1 POST /installation/index.php - 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/installation/index.php 200 0 0 145
2016-02-06 19:31:51 ::1 GET /installation/index.php tmpl=body&view=database 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/installation/index.php 200 0 0 140
2016-02-06 19:31:51 ::1 GET /media/jui/img/glyphicons-halflings.png - 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/media/jui/css/bootstrap.min.css 200 0 0 33
2016-02-06 19:35:23 ::1 POST /installation/index.php - 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/installation/index.php 200 0 0 163
2016-02-06 19:35:23 ::1 GET /installation/index.php tmpl=body&view=ftp 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/installation/index.php 200 0 0 99
2016-02-06 19:35:33 ::1 POST /installation/index.php - 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/installation/index.php 200 0 0 67
2016-02-06 19:35:33 ::1 GET /installation/index.php tmpl=body&view=summary 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/installation/index.php 200 0 0 81
2016-02-06 19:35:52 ::1 GET /installation/index.php - 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/installation/index.php 200 0 0 198
2016-02-06 19:35:57 ::1 GET /installation/index.php tmpl=body&view=ftp 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/installation/index.php 200 0 0 98
2016-02-06 19:35:59 ::1 GET /installation/index.php tmpl=body&view=database 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/installation/index.php 200 0 0 120
2016-02-06 19:36:01 ::1 POST /installation/index.php - 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/installation/index.php 200 0 0 74
2016-02-06 19:36:01 ::1 GET /installation/index.php tmpl=body&view=ftp 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/installation/index.php 200 0 0 81
2016-02-06 19:36:02 ::1 POST /installation/index.php - 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/installation/index.php 200 0 0 48
2016-02-06 19:36:02 ::1 GET /installation/index.php tmpl=body&view=summary 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/installation/index.php 200 0 0 117
2016-02-06 19:36:08 ::1 POST /installation/index.php - 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/installation/index.php 200 0 0 47
2016-02-06 19:36:08 ::1 GET /installation/index.php tmpl=body&view=install 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/installation/index.php 200 0 0 59
2016-02-06 19:36:08 ::1 POST /installation/index.php task=InstallDatabase_remove 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/installation/index.php 200 0 0 62
2016-02-06 19:36:08 ::1 POST /installation/index.php task=InstallDatabase 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/installation/index.php 200 0 0 588
2016-02-06 19:36:08 ::1 GET /installation/index.php tmpl=body&view=database 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/installation/index.php 200 0 0 95
2016-02-06 19:37:14 ::1 POST /installation/index.php - 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/installation/index.php 200 0 0 84
2016-02-06 19:37:14 ::1 GET /installation/index.php tmpl=body&view=ftp 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/installation/index.php 200 0 0 95
2016-02-06 19:37:16 ::1 POST /installation/index.php - 81 - ::1 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.97+Safari/537.36 http://localhost:81/installation/index.php 200 0 0 65
